,High,Low,Open,Close,Day,Month,Year
1808,2528.789307,2434.03418,2483.95459,2525.723877,18,3,2020
1809,3023.643066,2527.875488,2528.538818,2936.791992,19,3,2020
1810,3257.358643,2691.715332,2939.37207,2883.637695,20,3,2020
1811,2974.703857,2794.050293,2879.547363,2899.546631,21,3,2020
1812,2985.366699,2681.478027,2901.770508,2691.228271,22,3,2020
1813,2974.233154,2675.239502,2687.404297,2968.333496,23,3,2020
1814,3095.31543,2915.306885,2966.972656,3075.709961,24,3,2020
1815,3091.888916,2935.579346,3074.860107,2969.463623,25,3,2020
1816,3001.781982,2926.207764,2971.112549,3001.044678,26,3,2020
1817,3033.520264,2911.625977,3002.743652,2914.059814,27,3,2020
1818,2944.864502,2778.077393,2909.844482,2910.711426,28,3,2020
1819,2915.27832,2805.545166,2910.07666,2814.739258,29,3,2020
1820,2965.476563,2809.324463,2809.635986,2951.418457,29,3,2020
1821,2966.111816,2913.878418,2949.974121,2960.597656,30,3,2020
1822,3016.019043,2868.733154,2959.511719,3016.019043,31,3,2020
1823,3180.789551,3006.309082,3014.69165,3037.294922,1,4,2020
1824,3133.404541,3029.673584,3038.320801,3084.245117,2,4,2020
1825,3120.513428,3054.080078,3083.132568,3108.426025,3,4,2020
1826,3133.208496,3051.322754,3109.532715,3100.691406,4,4,2020
1827,3380.446777,3093.981445,3099.825928,3372.611328,5,4,2020
1828,3557.830811,3335.965576,3373.447998,3378.905518,6,4,2020
1829,3545.223633,3354.918701,3379.714355,3518.873291,7,4,2020
1830,3538.896973,3446.802246,3521.013672,3521.130127,8,4,2020
1831,3527.458984,3145.765381,3522.296143,3219.966309,9,4,2020
1832,3273.063721,3175.664795,3218.970703,3223.720703,10,4,2020
1833,3297.447021,3199.961426,3223.853027,3233.713867,11,4,2020
1834,3237.444092,3047.177979,3237.444092,3142.19165,12,4,2020
1835,3177.96875,3097.920898,3143.60376,3118.696289,13,4,2020
1836,3171.478271,3017.940186,3120.69043,3028.587646,14,4,2020
1837,3306.439453,2955.914063,3032.768066,3281.05249,15,4,2020
1838,3395.249512,3253.814453,3270.49707,3393.805908,17,4,2020
1839,3404.818359,3258.644775,3392.666748,3264.542969,18,4,2020
1840,3317.822998,3101.688965,3267.596191,3127.164307,19,4,2020
1841,3176.464844,3103.396729,3125.727295,3158.855713,20,4,2020
1842,3235.354004,3131.611084,3155.248047,3200.617188,21,4,2020
1843,3295.677002,3153.712891,3199.87793,3262.988037,22,4,2020
1844,3453.421631,3263.935791,3267.357178,3419.843994,23,4,2020
1845,3483.746338,3385.536133,3420.206787,3411.837158,24,4,2020
1846,3458.602539,3380.233887,3412.219238,3408.950684,25,4,2020
1847,3464.648193,3342.229004,3408.061523,3406.31665,26,4,2020
1848,3522.198242,3368.484131,3408.458008,3501.481689,27,4,2020
1849,3740.888184,3497.362061,3506.260498,3701.807617,28,4,2020
1850,3822.044678,3510.903076,3699.290283,3522.736572,29,4,2020
1851,3678.145508,3522.754883,3522.754883,3625.430908,30,4,2020
1852,3758.721191,3598.079346,3623.811523,3750.453125,1,5,2020
1853,3783.427734,3594.836182,3750.977051,3645.775146,2,5,2020
1854,3655.02832,3486.346436,3643.952637,3590.894775,3,5,2020
1855,3618.387451,3511.882324,3589.139893,3553.155518,4,5,2020
1856,3628.503906,3501.997314,3551.762695,3501.997314,5,5,2020
1857,3636.965088,3427.802979,3507.846436,3583.462402,6,5,2020
1858,3664.056152,3518.86084,3581.76709,3613.958252,7,5,2020
1859,3696.67041,3558.736084,3610.731201,3569.389893,8,5,2020
1860,3568.364014,3064.77417,3568.364014,3200.181396,9,5,2020
1861,3237.681641,3048.728271,3199.474365,3166.595215,10,5,2020
1862,3207.021484,3142.795166,3169.575684,3173.930176,11,5,2020
1863,3285.129395,3149.128418,3171.115479,3253.907227,12,5,2020
1864,3333.717529,3207.088379,3250.916992,3317.652588,13,5,2020
1865,3326.612793,3222.322266,3317.690674,3250.114014,14,5,2020
1866,3318.941406,3230.731201,3251.432861,3278.86499,15,5,2020
1867,3365.662109,3270.02417,3276.393311,3309.284912,16,5,2020
1868,3507.080566,3305.201904,3309.45459,3417.653076,17,5,2020
1869,3435.993164,3357.846436,3418.578369,3435.993164,18,5,2020
1870,3479.813232,3303.662842,3436.283203,3336.762451,19,5,2020
1871,3357.587402,3166.945557,3335.562012,3232.929443,20,5,2020
1872,3387.541748,3215.375,3231.996826,3359.559326,21,5,2020
1873,3384.302979,3321.447754,3359.609863,3346.301025,22,5,2020
1874,3372.50708,3225.430664,3345.197021,3225.903809,23,5,2020
1875,3295.7854,3199.319336,3222.619385,3258.906982,24,5,2020
1876,3256.196533,3182.310303,3257.470459,3203.196045,25,5,2020
1877,3345.02124,3198.417725,3201.462646,3328.894043,26,5,2020
1878,3396.132568,3294.084717,3329.684326,3388.23291,27,5,2020
1879,3435.053467,3347.530029,3389.583008,3372.297119,28,5,2020
1880,3590.443848,3340.123535,3370.81665,3590.269531,29,5,2020
1881,3592.264648,3423.018799,3590.318359,3443.245117,30,5,2020
1882,3653.739502,3430.665771,3441.911621,3634.109375,31,5,2020
1883,3742.294922,3395.982666,3631.780518,3447.297119,1,6,2020
1884,3587.942139,3436.959229,3447.771484,3553.4375,2,6,2020
1885,3623.945557,3519.140381,3555.526855,3594.637695,3,6,2020
1886,3621.599609,3541.913086,3597.41748,3555.547363,4,6,2020
1887,3576.047119,3508.33667,3556.573486,3531.2771,5,6,2020
1888,3546.895752,3429.663574,3532.188477,3524.271729,6,6,2020
1889,3545.76709,3472.900391,3523.604736,3504.3396,7,6,2020
1890,3524.256592,3447.081055,3504.148682,3478.708008,8,6,2020
1891,3548.810059,3467.507324,3478.697266,3532.723877,9,6,2020
1892,3552.506836,3273.447754,3532.996582,3306.032227,10,6,2020
